product_id,product_name,category,subcategory,price,return_window_days,weight_lbs,fragile,restockable
PROD00001,Ultra Technica,Books,Technical,51.97,30,10.51,False,True
PROD00002,Ultra Tool,Home & Garden,Tools,253.36,45,1.39,False,False
PROD00003,Premium Headphone,Electronics,Headphones,473.78,14,1.16,False,False
PROD00004,Premium Educationa,Books,Educational,14.49,30,7.07,False,True
PROD00005,Ultra Tool,Home & Garden,Tools,763.64,45,2.94,False,True
PROD00006,Pro Comic,Books,Comics,36.17,14,9.52,False,True
PROD00007,Essential Kitche,Home & Garden,Kitchen,346.71,14,17.87,False,False
PROD00008,Ultra Team Sport,Sports,Team Sports,292.86,45,16.11,False,True
PROD00009,Ultra Jean,Clothing,Jeans,136.57,30,6.09,False,True
PROD00010,Advanced Tool,Home & Garden,Tools,443.48,60,15.67,False,False
PROD00011,Advanced Surface Book,Electronics,Laptops,963.34,30,9.38,False,True
PROD00012,Essential Fitnes,Sports,Fitness,67.0,30,12.34,False,False
PROD00013,Deluxe Accessorie,Clothing,Accessories,55.64,90,18.01,False,False
PROD00014,Ultra Headphone,Electronics,Headphones,835.74,14,9.31,False,False
PROD00015,Modern Galaxy Plus,Electronics,Smartphones,1208.96,30,11.35,False,False
PROD00016,Premium Gamin,Electronics,Gaming,1418.07,14,11.28,False,False
PROD00017,Ultra Activewea,Clothing,Activewear,104.25,45,14.41,False,True
PROD00018,Classic Comic,Books,Comics,20.32,14,3.15,False,True
PROD00019,Pro Camera,Electronics,Cameras,532.05,14,9.53,False,True
PROD00020,Essential Tablet,Electronics,Tablets,993.25,14,16.42,False,True
PROD00021,Premium Non-fictio,Books,Non-fiction,26.63,30,3.5,False,True
PROD00022,Advanced Outdoo,Sports,Outdoor,253.22,45,13.38,False,False
PROD00023,Modern Garde,Home & Garden,Garden,322.08,14,9.33,False,False
PROD00024,Modern Mens Shirt,Clothing,Mens Shirts,147.98,90,7.85,False,False
PROD00025,Advanced Gamin,Electronics,Gaming,133.13,30,19.26,False,False
PROD00026,Deluxe ThinkPad Book,Electronics,Laptops,1809.97,30,10.31,True,False
PROD00027,Deluxe Garde,Home & Garden,Garden,375.69,30,5.64,False,False
PROD00028,Advanced Fictio,Books,Fiction,43.89,60,12.16,False,True
PROD00029,Modern Accessorie,Clothing,Accessories,56.24,45,11.82,False,False
PROD00030,Essential Winter Sport,Sports,Winter Sports,57.1,14,17.06,False,True
PROD00031,Pro Mens Shirt,Clothing,Mens Shirts,159.84,60,6.54,False,True
PROD00032,Ultra Mens Shirt,Clothing,Mens Shirts,223.89,60,15.14,False,False
PROD00033,Modern Galaxy Pro,Electronics,Smartphones,1701.26,14,8.89,False,False
PROD00034,Pro Jean,Clothing,Jeans,215.64,60,2.75,False,True
PROD00035,Advanced Jean,Clothing,Jeans,142.5,45,4.59,False,True
PROD00036,Classic Comic,Books,Comics,17.74,14,12.62,False,True
PROD00037,Premium ThinkPad Pro,Electronics,Laptops,751.14,30,11.41,True,True
PROD00038,Classic Water Sport,Sports,Water Sports,420.39,90,16.57,False,False
PROD00039,Ultra Tool,Home & Garden,Tools,644.25,60,8.61,False,False
PROD00040,Pro Camera,Electronics,Cameras,298.03,30,2.11,False,False
PROD00041,Deluxe Camera,Electronics,Cameras,93.96,30,18.45,False,False
PROD00042,Modern MacBook Air,Electronics,Laptops,1713.73,30,8.04,True,False
PROD00043,Modern Water Sport,Sports,Water Sports,335.29,14,6.83,False,False
PROD00044,Premium Jean,Clothing,Jeans,59.0,90,16.35,False,False
PROD00045,Advanced MacBook Pro,Electronics,Laptops,724.4,14,19.0,True,True
PROD00046,Premium Garde,Home & Garden,Garden,96.69,60,10.2,False,False
PROD00047,Modern Childre,Books,Children,80.34,30,0.53,False,True
PROD00048,Classic OnePlus Pro,Electronics,Smartphones,1127.37,14,7.8,False,False
PROD00049,Essential Technica,Books,Technical,59.46,14,8.82,False,True
PROD00050,Deluxe Team Sport,Sports,Team Sports,116.98,60,18.37,False,True
PROD00051,Premium Mens Shirt,Clothing,Mens Shirts,83.6,90,11.4,False,True
PROD00052,Pro Mens Shirt,Clothing,Mens Shirts,35.86,60,3.69,False,True
PROD00053,Classic Beddin,Home & Garden,Bedding,798.5,30,12.16,False,False
PROD00054,Pro Gamin,Electronics,Gaming,198.94,14,9.95,False,False
PROD00055,Modern Technica,Books,Technical,94.73,90,5.92,False,True
PROD00056,Modern Accessorie,Clothing,Accessories,109.28,90,10.12,False,True
PROD00057,Advanced Deco,Home & Garden,Decor,234.63,30,18.25,False,True
PROD00058,Classic Garde,Home & Garden,Garden,111.36,30,0.81,False,True
PROD00059,Advanced Technica,Books,Technical,95.77,14,10.03,False,True
PROD00060,Modern Tablet,Electronics,Tablets,1197.07,30,16.56,True,False
PROD00061,Essential Tool,Home & Garden,Tools,403.86,60,7.75,False,True
PROD00062,Essential Womens Dresse,Clothing,Womens Dresses,71.64,60,10.7,False,False
PROD00063,Deluxe Camera,Electronics,Cameras,1877.59,30,18.46,False,False
PROD00064,Essential Tablet,Electronics,Tablets,1738.2,14,16.17,False,False
PROD00065,Modern Comic,Books,Comics,24.63,60,9.4,False,True
PROD00066,Premium Womens Dresse,Clothing,Womens Dresses,98.6,45,1.8,False,True
PROD00067,Deluxe Team Sport,Sports,Team Sports,296.26,14,12.35,False,False
PROD00068,Modern Garde,Home & Garden,Garden,629.2,90,0.35,False,False
PROD00069,Deluxe Cyclin,Sports,Cycling,422.1,30,8.93,False,True
PROD00070,Advanced Fictio,Books,Fiction,13.33,45,9.66,False,True
PROD00071,Essential Outdoo,Sports,Outdoor,52.83,14,5.6,False,False
PROD00072,Ultra Headphone,Electronics,Headphones,553.11,30,5.26,False,False
PROD00073,Ultra Activewea,Clothing,Activewear,61.13,90,13.15,False,True
PROD00074,Premium Gamin,Electronics,Gaming,409.3,30,11.64,True,False
PROD00075,Modern Gamin,Electronics,Gaming,1951.8,14,13.6,False,False
PROD00076,Deluxe Outdoo,Sports,Outdoor,76.85,90,8.93,False,True
PROD00077,Deluxe Womens Dresse,Clothing,Womens Dresses,179.7,60,1.52,False,False
PROD00078,Premium Kitche,Home & Garden,Kitchen,271.33,45,6.77,False,False
PROD00079,Modern Deco,Home & Garden,Decor,503.2,30,7.43,False,False
PROD00080,Premium Accessorie,Clothing,Accessories,49.74,30,16.18,False,False
PROD00081,Premium Shoe,Clothing,Shoes,203.98,30,7.68,False,True
PROD00082,Essential MacBook Pro,Electronics,Laptops,1233.85,30,6.41,True,True
PROD00083,Deluxe Kitche,Home & Garden,Kitchen,196.25,45,14.99,False,True
PROD00084,Essential Shoe,Clothing,Shoes,121.33,45,11.25,False,True
PROD00085,Advanced Garde,Home & Garden,Garden,490.1,60,15.75,False,True
PROD00086,Classic Outdoo,Sports,Outdoor,393.81,60,13.51,False,True
PROD00087,Modern Team Sport,Sports,Team Sports,187.25,14,1.72,False,False
PROD00088,Advanced Outdoo,Sports,Outdoor,325.5,30,18.01,False,False
PROD00089,Pro Inspiron Book,Electronics,Laptops,1542.74,30,14.88,True,False
PROD00090,Ultra Fictio,Books,Fiction,99.09,30,10.35,False,True
PROD00091,Essential Water Sport,Sports,Water Sports,193.32,60,13.97,False,True
PROD00092,Deluxe Furnitur,Home & Garden,Furniture,719.48,45,11.87,False,True
PROD00093,Deluxe OnePlus ,Electronics,Smartphones,1280.12,30,5.86,False,False
PROD00094,Pro Activewea,Clothing,Activewear,62.63,14,11.91,False,False
PROD00095,Deluxe Childre,Books,Children,49.47,90,14.48,False,True
PROD00096,Classic Furnitur,Home & Garden,Furniture,248.42,45,1.06,False,False
PROD00097,Essential Beddin,Home & Garden,Bedding,265.08,30,19.07,False,True
PROD00098,Modern Shoe,Clothing,Shoes,181.04,90,6.36,False,False
PROD00099,Pro Kitche,Home & Garden,Kitchen,240.96,60,8.83,False,True
PROD00100,Pro Beddin,Home & Garden,Bedding,740.74,45,2.91,False,True
PROD00101,Ultra Winter Sport,Sports,Winter Sports,37.99,14,19.2,False,True
PROD00102,Premium Headphone,Electronics,Headphones,770.6,30,18.84,False,True
PROD00103,Pro Educationa,Books,Educational,74.46,14,8.94,False,True
PROD00104,Modern Childre,Books,Children,17.82,30,19.86,False,True
